alpha,h,side,method,beta,se,ci_lo,ci_hi,pval,n_obs
0.01,22,up,logit,0.05368352527011249,0.01472519910687207,0.024822135020643236,0.08254491551958175,0.000266674300519626,40560
0.01,22,up,lpm,0.0008981445127423528,0.0002695912007068085,0.0002617212952914137,0.0015522768014941096,0.0008637765668314568,40560
0.01,23,down,logit,0.0526817500303478,0.015332259066205257,0.022630522260585498,0.0827329778001101,0.000590355640217988,40559
0.01,23,down,lpm,0.0007643228697061621,0.0002457529724546075,0.000299641421355249,0.001304029669167264,0.0018700713908117047,40559
0.01,23,up,logit,0.04923157734715721,0.014852842710888171,0.020120005633816395,0.07834314906049802,0.0009176672452877104,40559
0.01,23,up,lpm,0.0008458005885977763,0.00025580665486907197,0.00023034987289111353,0.0015482653851438403,0.0009450114396318812,40559
0.01,24,down,logit,0.04412930169791802,0.015617607862331373,0.013518790287748526,0.07473981310808751,0.004719037294173574,40558
0.01,24,down,lpm,0.000650638159686217,0.00024390496329433026,0.00011735967601948824,0.0012166027378668755,0.007639768663878057,40558
0.01,24,up,logit,0.0654018570337085,0.014410379534321293,0.03715751314643877,0.09364620092097824,5.6649280867027496e-06,40558
0.01,24,up,lpm,0.001092181356101773,0.00026465209548222807,0.0004470924491309697,0.0018269505036633488,3.677548940266073e-05,40558
0.05,0,down,logit,0.04560391538530366,0.010640374076913407,0.02474878219455338,0.06645904857605393,1.819749848691943e-05,40582
0.05,0,down,lpm,0.003931108672005694,0.00043984151145744834,0.002903857408020021,0.005026802096979385,3.9786772875895564e-19,40582
0.05,0,up,logit,0.04119056313331045,0.009280016315296426,0.02300173115532946,0.05937939511129145,9.053310036630798e-06,40582
0.05,0,up,lpm,0.003590912628576495,0.0004664446412568368,0.002609506445269224,0.0046118010848252245,1.3769916118355591e-14,40582
0.05,1,down,logit,0.04904563882875481,0.00727817370609106,0.03478041836481633,0.06331085929269328,1.597782961669148e-11,40581
0.05,1,down,lpm,0.0030605358162667943,0.0005172270068139575,0.0019335479959601205,0.00411109963304418,3.274677473039901e-09,40581
0.05,1,up,logit,0.05300028988488172,0.007247804763491195,0.03879459254843898,0.06720598722132447,2.620240866889348e-13,40581
0.05,1,up,lpm,0.0032690137032785143,0.000513398781373834,0.002218136092910618,0.004281228625669496,1.922634576053984e-10,40581
0.05,2,down,logit,0.039406502302160855,0.007392954189367597,0.024916312091000363,0.05389669251332135,9.806244940115569e-08,40580
0.05,2,down,lpm,0.0024404824553540374,0.0004962038872975088,0.0012637650843005637,0.0034514345839944784,8.729646485224825e-07,40580
0.05,2,up,logit,0.0563234268082001,0.0071910022637073166,0.04222906237133376,0.07041779124506645,4.783152809458573e-15,40580
0.05,2,up,lpm,0.003507366090834377,0.0005150849162049339,0.002443482474181202,0.004689846745896766,9.807692841974394e-12,40580
0.05,3,down,logit,0.03900750048753214,0.007398226290100168,0.024506976958935812,0.05350802401612847,1.3454290486155007e-07,40579
0.05,3,down,lpm,0.002425465443095174,0.0004961447340353191,0.0013776206603389562,0.003414246652467408,1.015428247946934e-06,40579
0.05,3,up,logit,0.040947517231832105,0.007436426797618308,0.026372120708500223,0.05552291375516399,3.663642273617194e-08,40579
0.05,3,up,lpm,0.0024922774752330658,0.00050104854774828,0.001342597117816673,0.0034790823088951214,6.554343505706775e-07,40579
0.05,4,down,logit,0.044795034225620735,0.00731029920042663,0.030466847792784538,0.05912322065845693,8.918042447595401e-10,40578
0.05,4,down,lpm,0.002791664757138806,0.0005097052062448029,0.0016852685534881374,0.0039017788809491685,4.3255242752624584e-08,40578
0.05,4,up,logit,0.03680256170130954,0.007494749499255013,0.022112852682769718,0.05149227071984937,9.086953965166578e-07,40578
0.05,4,up,lpm,0.0022251346424371995,0.000488551325898814,0.0011319911302995493,0.0032832352841073316,5.249620119506235e-06,40578
0.05,5,down,logit,0.04093967836840227,0.007407200301017358,0.02642156577840825,0.055457790958396286,3.2573233881180175e-08,40577
0.05,5,down,lpm,0.002507833585000266,0.0004956621755228215,0.0013592911579974874,0.0035613526709240497,4.202202857578321e-07,40577
0.05,5,up,logit,0.03644531732664386,0.007504028708408253,0.02173742105816369,0.051153213595124036,1.1931799061560597e-06,40577
0.05,5,up,lpm,0.0022113116434706445,0.000495079121967703,0.0011793540694706142,0.0032734843355957774,7.9479094975486e-06,40577
0.05,6,down,logit,0.029814814796521528,0.007555763205232364,0.015005518914266094,0.04462411067877696,7.947757127031332e-05,40576
0.05,6,down,lpm,0.0018327042642977275,0.0004922671541494428,0.0006826711902148918,0.002983281489932982,0.00019687958534906716,40576
0.05,6,up,logit,0.03676010092959169,0.007454551124547141,0.022149180725479296,0.05137102113370409,8.171374615438141e-07,40576
0.05,6,up,lpm,0.0022601877478633133,0.00048814158033923374,0.0012366823161728032,0.003263213852903716,3.6533221643048033e-06,40576
0.05,7,down,logit,0.026820229824296927,0.007635448935958935,0.011854749909817415,0.04178570973877644,0.0004437555034084891,40575
0.05,7,down,lpm,0.0016307199398409274,0.00048312786032214585,0.0005399135294846668,0.0028478545494185236,0.0007372501967222828,40575
